StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
2,0,201006,0.08,75.9,2.32,2.32,1.52,2.32,518,2,-0.79,-1.34,-1.37,0.97,0.34,-0.58,-0.64,59.2,92.6
2,0,201007,1.97,81.8,2.29,2.29,0.63,2.29,716,0,0.36,0.08,-0.25,0,0.64,-0.31,-0.7,68.4,95.1
2,0,201008,1.84,79,-0.27,1.79,-0.81,1.36,647,0,-0.2,0.04,-0.16,-0.5,0.82,0.09,-0.82,65.8,92.1
2,0,201009,0.6,75.4,-0.89,0.96,-1.94,-0.36,526,1,-0.79,-0.76,-0.4,-0.91,0.59,0.05,-0.88,59.7,91.2
2,0,201010,1.35,62.7,-0.51,1.14,0.85,0.2,192,44,0.79,-0.02,-0.23,-0.35,-0.23,0.48,-0.58,49.3,76.1
2,0,201011,0.19,48.3,-0.92,0.56,-1.38,-0.91,12,298,-0.92,-0.01,-0.55,-0.57,-0.73,0.49,-0.77,34.2,62.4
2,0,201012,1.67,46.7,-0.73,0.61,0.31,-0.67,0,363,0.71,0.09,0.36,-0.07,-0.38,0.62,-0.8,34.5,58.9
2,0,201101,0.05,41.5,-1.39,-1.39,-2.21,-1.39,0,501,-1.62,-0.18,-0.63,-0.66,-0.71,-0.52,-0.9,27.6,55.4
2,0,201102,1.05,41.7,-1.24,-1.24,0,-1.16,0,463,0.21,-0.78,-0.15,-0.51,-0.53,-0.65,-0.91,27.8,55.7
2,0,201103,0.33,53.3,-1.8,-1.8,-2.05,-1.8,51,198,-0.9,-0.43,-1.14,-0.45,-0.65,-0.88,-0.88,38.3,68.3
2,0,201104,0.41,58.9,-2.29,-2.29,-2.04,-2.29,133,89,0.01,-0.86,-0.49,-0.78,-0.78,-0.83,-0.85,43.8,73.9
2,0,201105,0.28,63.3,-2.54,-2.54,-1.46,-2.54,209,43,0.09,-0.11,-0.81,-0.51,-0.74,-0.74,-0.95,47.7,78.8
2,0,201106,0.02,75.7,-3.09,-3.09,-2.42,-3.09,521,2,-1.25,-0.79,-0.62,-1.28,-0.61,-0.77,-1.02,58.4,93.1
2,0,201107,1.76,80.8,-2.91,-2.91,-0.43,-2.91,686,0,0.08,-0.28,-0.31,-0.7,-0.93,-0.91,-0.84,66.9,94.7
